State,state_po,County name,county_fips,demvotes80,repvotes80,Total_votes,%Votes_Dem80,%Votes_Rep80,tot2pty80,demsh80,repsh80,demvotes00,repvotes00,Total_votes,%Votes_Dem00,%Votes_Rep00,tot2pty00,demsh00,repsh00,demvotes16,repvotes16,Total_votes,%Votes_Dem16,%Votes_Rep16,tot2pty16,demsh16,repsh16,demvotes20,repvotes20,Total_votes,%Votes_Dem20,%Votes_Rep20,tot2pty20,demsh20,repsh20
ALABAMA,AL,AUTAUGA,1001,4295,6292,11063,0.388231040404953,0.568742655699178,10587,0.405686218947766,0.594313781052234,4942,11993,17208,0.2871920037192,0.696943282194328,16935,0.291821671095365,0.708178328904635,5936,18172,24973,0.237696712449445,0.727665879149481,24108,0.246225319396051,0.753774680603949,7503,19838,27770,0.270183651422398,0.714368023046453,27341,0.274423027687356,0.725576972312644
ALABAMA,AL,BALDWIN,1003,8448,18652,28353,0.297957888054174,0.657849257574154,27100,0.311734317343173,0.688265682656827,13997,40872,56480,0.24782223796034,0.723654390934844,54869,0.255098507353879,0.744901492646121,18458,72883,95215,0.193856010082445,0.765457123352413,91341,0.202077927765188,0.797922072234812,24578,83544,109679,0.22409029987509,0.761713728243328,108122,0.22731728972827,0.77268271027173
ALABAMA,AL,BARBOUR,1005,4458,4171,9001,0.495278302410843,0.463392956338185,8629,0.516629968710163,0.483370031289837,5188,5096,10395,0.499086099086099,0.49023569023569,10284,0.504472967716842,0.495527032283158,4871,5454,10469,0.465278441111854,0.520966663482663,10325,0.471767554479419,0.528232445520581,4816,5622,10518,0.457881726563986,0.534512264689104,10438,0.461391071086415,0.538608928913585
ALABAMA,AL,BIBB,1007,3097,2491,5623,0.550773608394096,0.443001956251112,5588,0.554223335719399,0.445776664280601,2710,4273,7101,0.381636389240952,0.60174623292494,6983,0.388085350136045,0.611914649863955,1874,6738,8819,0.212495747817213,0.764032203197641,8612,0.217603344170924,0.782396655829076,1986,7525,9595,0.206982803543512,0.784262636789995,9511,0.208810850594049,0.791189149405951
ALABAMA,AL,BLOUNT,1009,5656,6819,12724,0.444514303678089,0.535916378497328,12475,0.453386773547094,0.546613226452906,4977,12667,17973,0.276915373059589,0.704779391309186,17644,0.282078893674904,0.717921106325096,2156,22859,25588,0.0842582460528373,0.893348444583399,25015,0.0861882870277833,0.913811712972217,2640,24711,27588,0.0956937799043062,0.895715528490648,27351,0.0965229790501261,0.903477020949874
ALABAMA,AL,BULLOCK,1011,3960,1446,5637,0.702501330494944,0.256519425226184,5406,0.732519422863485,0.267480577136515,3395,1433,4904,0.692292006525285,0.29221044045677,4828,0.703189726594863,0.296810273405137,3530,1140,4710,0.749469214437367,0.24203821656051,4670,0.755888650963597,0.244111349036403,3446,1146,4613,0.747019293301539,0.248428354649902,4592,0.750435540069686,0.249564459930314
ALABAMA,AL,BUTLER,1013,4156,3810,8368,0.496653919694073,0.455305927342256,7966,0.521717298518704,0.478282701481295,3606,4127,7803,0.462129950019223,0.528899141355889,7733,0.466313203155308,0.533686796844692,3726,4901,8732,0.426706367384333,0.561268896014659,8627,0.431899849310305,0.568100150689695,3965,5458,9488,0.41789629005059,0.575252951096121,9423,0.420778945134246,0.579221054865754
ALABAMA,AL,CALHOUN,1015,17017,17475,35541,0.478799133395234,0.491685658816578,34492,0.493360779311145,0.506639220688855,15781,22306,38909,0.405587396232234,0.573286386183145,38087,0.414340851209074,0.585659148790926,13242,32865,47864,0.276658866789236,0.686632960053485,46107,0.287201509532175,0.712798490467825,15216,35101,50983,0.298452425318243,0.688484396759704,50317,0.30240276646064,0.69759723353936
ALABAMA,AL,CHAMBERS,1017,6649,4864,11899,0.558786452643079,0.408773846541726,11513,0.577521063146009,0.422478936853991,5616,6037,11834,0.474564813249958,0.510140273787392,11653,0.481935982150519,0.518064017849481,5784,7843,13900,0.416115107913669,0.564244604316547,13627,0.424451456666911,0.575548543333089,6365,8753,15284,0.416448573671814,0.572690395184507,15118,0.421021299113639,0.578978700886361
ALABAMA,AL,CHEROKEE,1019,3764,2482,6438,0.584653619136378,0.385523454488972,6246,0.602625680435479,0.397374319564521,3497,4154,7823,0.447015211555669,0.530998338233414,7651,0.457064436021435,0.542935563978565,1547,8953,10733,0.144134911022081,0.834156340259014,10500,0.147333333333333,0.852666666666667,1624,10583,12301,0.132021786846598,0.860336558003414,12207,0.133038420578357,0.866961579421643
